FIELD,ID,RA_x,DEC_x,Z_50,id3DHST,ir_SFR-ladder_total,ir_SFR-ladder_total_Av,synth_Av,ir_A_V,gf_n_j,gf_dn_j,gf_f_j,gf_re_j,gf_dre_j,td_Av,ACS_F435W_FLUX,ACS_F775W_FLUX,restalt_restUjohnson,restalt_restVjohnson,td_flag1,td_z_best,td_z_spec,td_z_best_s,td_z_peak_phot,td_lmass,td_sfr,td_sfr_IR,td_sfr_UV,ir_z_ir,ir_SFR-UV_corr,ir_SFR-UV_corr_Error,ir_SFR-IR,ir_UV_beta,ir_beta_obs,ir_beta_obs_err,DL,restUjohnson,restVjohnson
GN1,35952,189.30672151,62.334217007,0.2415309308306832,35952,0.42855,0.383,0.2,0.086,1.2381,0.38717,0,0.885408,0.16136,0.0,2.3692,5.31327,-17.578445,-18.351835,0,0.2777,0.2777,1,0.2711,8.61,-99.0,-99.0,0.29391,0.28,0.42855,0.0150463,-0.220867,-2.1836,-2.1836,0.0,1226.6369198864215,,
GN3,35952,189.30672151,62.33421700699998,0.260204324588675,35952,0.42855,0.383,0.2,0.086,1.2381,0.38717,0,0.885408,0.16136,0.0,2.3692,5.31327,-17.578445,-18.351835,0,0.2777,0.2777,1,0.2711,8.61,-99.0,-99.0,0.29391,0.28,0.42855,0.0150463,-0.220867,-2.1836,-2.1836,0.0,1335.2392345943174,,
GN1,36067,189.30675486,62.33452752600002,0.2104428832024991,36067,0.6144,0.6144,0.0,0.192,0.4188,0.0636485,1,0.357774,0.0108193,0.0,2.3179,3.01644,-17.552989,-17.789335,0,0.27698,-1.0,2,0.026,7.89,0.55687,0.1141,0.44277,0.28,0.659846,0.0328936,0.131232,-1.9461,-1.9461,0.0,1049.866369673758,,
GN3,36067,189.30675486,62.33452752600002,0.1301202638182732,36067,0.6144,0.6144,0.0,0.192,0.4188,0.0636485,1,0.357774,0.0108193,0.0,2.3179,3.01644,-17.552989,-17.789335,0,0.27698,-1.0,2,0.026,7.89,0.55687,0.1141,0.44277,0.28,0.659846,0.0328936,0.131232,-1.9461,-1.9461,0.0,617.7006393787409,,
GN1,36521,189.31417898,62.340441925,0.2236639465193783,36521,0.565271,0.7642,0.1,0.404,1.5333,0.783321,0,0.428712,0.11156,0.6,2.2321,5.38956,-17.437104,-18.136792,0,0.2547,0.2547,1,0.2447,8.33,0.30231,0.034557,0.26775,0.25,0.565271,0.0647488,-0.165181,-1.5244,-1.5244,0.0,1124.4181126859014,,
GN1,36968,189.32673442,62.34633065299999,0.2599228660199431,36968,0.324375,0.324375,0.0,0.23,1.6147,0.0729157,0,0.689076,0.0181172,0.2,2.21497,7.13325,-17.170912,-18.19453,0,0.2318,0.2318,1,0.2943,8.78,0.16918,0.029981,0.1392,0.23,0.219992,0.0105922,0.174671,-1.872,-1.872,0.0,1333.5890677227135,,
GN1,37555,189.26732495,62.356712025,0.263790795436706,37555,0.265046,0.4081,0.1,0.468,1.2924,0.707644,0,0.717198,0.228661,0.4,0.96798,3.57096,-17.037753,-18.015173,0,0.29434,-1.0,2,0.2932,8.73,0.19838,0.049439,0.14894,0.3,0.265046,0.0355916,-0.26417,-1.3735,-1.3735,0.0,1356.301555785334,,
GN3,37555,189.26732495,62.356712025,0.2503931862009999,37555,0.265046,0.4081,0.1,0.468,1.2924,0.707644,0,0.717198,0.228661,0.4,0.96798,3.57096,-17.037753,-18.015173,0,0.29434,-1.0,2,0.2932,8.73,0.19838,0.049439,0.14894,0.3,0.265046,0.0355916,-0.26417,-1.3735,-1.3735,0.0,1277.9556157430366,,
GN1,37614,189.34019404,62.357355156,0.2898237337119585,37614,0.404491,0.5307,0.4,0.385,1.462,0.606676,0,0.251712,0.0439992,0.8,0.37972,0.89196,-17.067861,-17.716359,0,0.28467,-1.0,2,0.3464,7.65,-99.0,-99.0,0.05713,0.48,0.404491,0.0447635,-0.943538,-1.5662,-1.5662,0.0,1511.116696075603,,
GN1,37674,189.29696185,62.35930402500001,0.05598544475387126,37674,0.000261344,0.4841,0.1,1.274,0.7632,0.342294,0,0.424014,0.065116,0.1,0.15548,0.6207,-11.310862,-12.896373,-1,0.2069,-1.0,3,0.2069,7.61,-99.0,-99.0,0.0084387,0.08,0.000261344,0.00028005,-0.0109444,3.9992,6.7016,0.0,252.5636419320135,,
GN1,37683,189.30608926,62.360349807,0.2774810736218118,37683,1.57008,1.57008,0.0,0.594,0.8085,0.0706395,0,0.690642,0.0231143,0.7,4.99338,12.17853,-18.532061,-19.200056,0,0.2195,-1.0,3,0.2195,8.61,0.75561,0.3222,0.4334,0.28,1.84496,0.316932,0.731772,-1.0059,-1.0059,0.0,1437.295927009079,,
GN1,37966,189.3062176,62.369608306,0.1546590106557125,37966,0.309326,0.3614,0.4,0.294,0.2,0.881473,2,0.455016,0.491073,0.4,0.26262,0.43766,-16.495579,-16.90698,-1,0.1471,-1.0,3,0.1471,6.77,0.012621,0.0033072,0.0093142,0.54,0.309326,0.0245031,-1.28334,-1.7501,-1.7501,0.0,745.8441810522532,,
GN1,37991,189.27889453,62.37117678300001,0.2687725224340357,37991,0.0623071,0.5228,0.0,0.984,0.8178,0.33713,0,0.725922,0.103739,1.1,0.75458,2.17823,-14.74123,-15.807217,0,0.15315,-1.0,2,0.1534,7.7,-99.0,-99.0,0.021858,0.16,0.0623071,0.0113588,-0.054728,0.1268,0.3467,0.0,1385.6656172328721,,
GN1,38154,189.2945189,62.377430343,0.2856058577925683,38154,0.0213834,0.0299,0.0,0.415,0.6725,0.430345,0,0.24522,0.0355128,0.5,0.30517,0.70337,-14.077026,-15.001171,-1,0.1864,-1.0,3,0.1864,7.18,0.021194,0.0013988,0.019796,0.18,0.0213834,0.00301541,-0.0728296,-1.5004,-1.5004,0.0,1485.8053205584056,,
GN2,10153,189.24653388,62.19293635500001,0.2752142160906735,10153,0.0225043,0.02193,0.1,0.113,0.7952,0.123085,0,0.357366,0.0180556,0.1,0.18315,0.48271,-14.579275,-15.343433,-1,0.291,-1.0,3,0.291,7.65,-99.0,-99.0,0.029267,0.25,0.0225043,0.000661943,-0.165181,-2.115,-2.115,0.0,1423.819970661329,,
GN2,12088,189.25355121,62.20206570300001,0.2155408691691401,12088,0.0249626,0.02821,0.0,0.21,1.2473,0.141899,0,0.465666,0.0232938,0.2,0.20164,0.58568,-14.569841,-15.510813,-1,0.2098,-1.0,3,0.2098,7.51,-99.0,-99.0,0.011232,0.25,0.0249626,0.00303951,-0.165181,-1.9119,-1.9119,0.0,1078.502536957519,,
GN2,14701,189.24295114,62.21421665399998,0.2444789680373674,14701,0.026513,0.08268,0.2,0.669,0.5666,0.179275,1,0.415062,0.0311122,0.4,0.38978,0.89418,-14.042141,-14.947703,0,0.28917,-1.0,2,0.2539,7.67,0.057363,0.0018819,0.055481,0.15,0.026513,0.00397435,-0.0468719,-0.7482,-0.7482,0.0,1243.6631008842803,,
GN2,15255,189.27384778,62.21758860699998,0.01177229785441014,15255,0.0280394,0.03965,0.1,0.459,0.9219,0.127083,0,0.667722,0.0375666,0.0,2.23473,5.97949,-15.05852,-16.169363,0,0.109,0.109,1,0.0806,7.96,-99.0,-99.0,0.025528,0.11,0.0280394,0.00105303,-0.0225978,-1.3974,-1.3974,0.0,51.381020234425705,,
GN4,15255,189.27384778,62.21758860700001,0.1744901215269751,15255,0.0280394,0.03965,0.1,0.459,0.9219,0.127083,0,0.667722,0.0375666,0.0,2.23473,5.97949,-15.05852,-16.169363,0,0.109,0.109,1,0.0806,7.96,-99.0,-99.0,0.025528,0.11,0.0280394,0.00105303,-0.0225978,-1.3974,-1.3974,0.0,851.9349931680141,,
GN2,15610,189.21272212,62.222423294,0.1992416776871956,15610,1.28475,1.28475,0.1,0.523,1.2779,0.102868,0,1.49332,0.0708744,0.3,17.46612,50.43783,-18.985366,-19.971201,0,0.2008,0.2008,1,0.2096,9.43,1.121,0.27426,0.8467,0.2,1.64124,0.0708243,0.564242,-1.2266,-1.2266,0.0,987.4400743034412,,
GN2,16080,189.23962658,62.22134484399998,0.1917005160238804,16080,0.00193873,0.009329,0.2,0.772,0.5618,0.410878,0,0.34383,0.0650157,0.1,0.10628,0.35732,-12.346416,-13.531272,-1,0.1538,-1.0,3,0.1538,7.04,0.0086456,0.0063618,0.0022838,0.13,0.00193873,0.000391905,-0.0333741,-0.4144,-0.4144,0.0,945.7967545884699,,
GN2,16624,189.19553993,62.22436921700002,0.2751869771884076,16624,0.00120802,0.01857,0.2,1.26,0.2579,0.00661478,0,0.707346,0.00421524,0.3,0.11442,0.4509,-12.195363,-13.322329,-1,0.2896,-1.0,3,0.2896,7.53,0.048396,0.032275,0.016121,0.11,0.00120802,0.000167844,-0.0225978,0.7584,1.8252,0.0,1423.65819715376,,
GN2,17963,189.1534668,62.23099412800001,0.1970735463674067,17963,20.1768,18.13,0.4,0.468,0.285,0.115964,1,0.318642,0.0319827,0.0,0.22425,0.4951,-21.011006,-21.206885,-1,0.1906,2.856,3,0.1906,9.32,0.024886,0.015046,0.0098398,2.86,20.1768,0.875138,-126.94,-1.7001,-1.7659,0.1089,975.4354687235501,,
GN7,17963,189.1534668,62.23099412800001,0.2116058729064601,17963,20.1768,18.13,0.4,0.468,0.285,0.115964,1,0.318642,0.0319827,0.0,0.22425,0.4951,-21.011006,-21.206885,-1,0.1906,2.856,3,0.1906,9.32,0.024886,0.015046,0.0098398,2.86,20.1768,0.875138,-126.94,-1.7001,-1.7659,0.1089,1056.3867729907774,,
GN2,18157,189.18229328,62.23245815499999,0.1968138893998585,18157,0.616173,1.106,0.2,0.523,1.1696,0.432825,0,1.16805,0.242844,0.7,5.02153,15.99987,-17.627013,-18.692137,0,0.2013,0.2013,1,0.2078,8.96,0.29487,0.046595,0.24828,0.2,0.616173,0.0958844,-0.094367,-1.2265,-1.2265,0.0,973.9995107578957,,
GN2,18712,189.19739535,62.23418916799999,0.08999590997995019,18712,0.00979744,0.01029,0.0,0.179,0.5206,0.0686382,1,0.426288,0.0138233,0.1,0.36612,0.59143,-13.309739,-14.054888,-1,0.1428,-1.0,3,0.1428,6.8,0.010927,0.0012369,0.0096896,0.12,0.00979744,0.00045075,-0.0276628,-1.9728,-1.9728,0.0,415.87253957236175,,
