# Ha/Hb  Pab/Ha  Av     Pab/Ha  Av      Pab/Ha  Av
#        Calzetti00   MW(Fitzpatrick99) SMC(Gordon03)
 2.860   0.057   0.000   0.057   0.000   0.057   0.000  
 3.060   0.063   0.179   0.062   0.181   0.063   0.195  
 3.260   0.070   0.346   0.067   0.350   0.070   0.378  
 3.460   0.077   0.504   0.072   0.510   0.076   0.550  
 3.660   0.085   0.653   0.078   0.660   0.083   0.712  
 3.860   0.092   0.794   0.083   0.803   0.090   0.866  
 4.060   0.100   0.927   0.089   0.938   0.098   1.012  
 4.260   0.108   1.054   0.094   1.067   0.105   1.151  
 4.460   0.117   1.176   0.100   1.190   0.113   1.283  
 4.660   0.125   1.292   0.106   1.307   0.121   1.410  
 4.860   0.134   1.403   0.111   1.420   0.129   1.531  
 5.060   0.143   1.510   0.117   1.528   0.137   1.648  
 5.260   0.152   1.612   0.123   1.631   0.146   1.760  
 5.460   0.162   1.711   0.129   1.731   0.154   1.868  
 5.660   0.171   1.806   0.135   1.828   0.163   1.971  
 5.860   0.181   1.898   0.141   1.921   0.172   2.072  
 6.060   0.191   1.987   0.147   2.010   0.181   2.169  
 6.260   0.202   2.073   0.153   2.097   0.191   2.262  
 6.460   0.212   2.156   0.160   2.182   0.200   2.353  
 6.660   0.223   2.237   0.166   2.263   0.210   2.441  
 6.860   0.234   2.315   0.172   2.342   0.220   2.527  
 7.060   0.245   2.391   0.179   2.419   0.230   2.610  
 7.260   0.256   2.465   0.185   2.494   0.240   2.690  
 7.460   0.268   2.537   0.192   2.567   0.250   2.769  
 7.660   0.279   2.607   0.198   2.638   0.261   2.845  
 7.860   0.291   2.675   0.205   2.707   0.271   2.920  
 8.060   0.303   2.742   0.211   2.774   0.282   2.992  
 8.260   0.316   2.807   0.218   2.840   0.293   3.063  
 8.460   0.328   2.870   0.225   2.904   0.304   3.132  
 8.660   0.341   2.932   0.232   2.966   0.315   3.200  
 8.860   0.354   2.992   0.238   3.027   0.327   3.266  
 9.060   0.367   3.051   0.245   3.087   0.338   3.330  
 9.260   0.380   3.109   0.252   3.146   0.350   3.393  
 9.460   0.393   3.166   0.259   3.203   0.361   3.455  
 9.660   0.407   3.221   0.266   3.259   0.373   3.515  
 9.860   0.420   3.275   0.273   3.314   0.385   3.574  
10.060   0.434   3.328   0.280   3.368   0.397   3.632  
10.260   0.448   3.381   0.287   3.420   0.410   3.689  
10.460   0.462   3.432   0.294   3.472   0.422   3.745  
10.660   0.477   3.482   0.301   3.523   0.435   3.800  
10.860   0.491   3.531   0.309   3.572   0.447   3.853  
11.060   0.506   3.579   0.316   3.621   0.460   3.906  
11.260   0.521   3.627   0.323   3.669   0.473   3.958  
11.460   0.536   3.673   0.330   3.716   0.486   4.009  
11.660   0.551   3.719   0.338   3.763   0.499   4.059  
11.860   0.567   3.764   0.345   3.808   0.513   4.108  
12.060   0.582   3.808   0.352   3.853   0.526   4.156  
12.260   0.598   3.852   0.360   3.897   0.540   4.204  
12.460   0.614   3.895   0.367   3.940   0.553   4.250  
12.660   0.630   3.937   0.375   3.983   0.567   4.296  
12.860   0.646   3.978   0.382   4.025   0.581   4.342  
13.060   0.662   4.019   0.390   4.066   0.595   4.386  
13.260   0.679   4.059   0.397   4.107   0.609   4.430  
13.460   0.695   4.099   0.405   4.147   0.623   4.473  
13.660   0.712   4.138   0.413   4.187   0.638   4.516  
13.860   0.729   4.176   0.420   4.225   0.652   4.558  
14.060   0.746   4.214   0.428   4.264   0.667   4.599  
14.260   0.763   4.252   0.436   4.302   0.682   4.640  
14.460   0.781   4.289   0.444   4.339   0.696   4.680  
14.660   0.798   4.325   0.451   4.376   0.711   4.720  
14.860   0.816   4.361   0.459   4.412   0.726   4.759  
15.060   0.834   4.396   0.467   4.448   0.742   4.798  
15.260   0.852   4.431   0.475   4.483   0.757   4.836  
15.460   0.870   4.466   0.483   4.518   0.772   4.873  
15.660   0.888   4.500   0.491   4.552   0.788   4.911  
15.860   0.907   4.533   0.499   4.586   0.803   4.947  
16.060   0.925   4.566   0.507   4.620   0.819   4.983  
16.260   0.944   4.599   0.515   4.653   0.835   5.019  
16.460   0.963   4.631   0.523   4.686   0.851   5.054  
16.660   0.982   4.663   0.531   4.718   0.867   5.089  
16.860   1.001   4.695   0.539   4.750   0.883   5.124  
17.060   1.020   4.726   0.547   4.782   0.899   5.158  
17.260   1.039   4.757   0.555   4.813   0.916   5.192  
17.460   1.059   4.788   0.563   4.844   0.932   5.225  
17.660   1.079   4.818   0.572   4.874   0.949   5.258  
17.860   1.098   4.847   0.580   4.904   0.965   5.290  
18.060   1.118   4.877   0.588   4.934   0.982   5.322  
18.260   1.139   4.906   0.596   4.964   0.999   5.354  
18.460   1.159   4.935   0.605   4.993   1.016   5.386  
