HAHB,PABHA_CALZ00,AV_CALZ00,PABHA_FITZ99,AV_FITZ99,PABHA_GORD03,AV_GORD03
2.86,0.057,0.0,0.057,0.0,0.057,0.0
3.06,0.063,0.179,0.062,0.181,0.063,0.195
3.26,0.07,0.346,0.067,0.35,0.07,0.378
3.46,0.077,0.504,0.072,0.51,0.076,0.55
3.66,0.085,0.653,0.078,0.66,0.083,0.712
3.86,0.092,0.794,0.083,0.803,0.09,0.866
4.06,0.1,0.927,0.089,0.938,0.098,1.012
4.26,0.108,1.054,0.094,1.067,0.105,1.151
4.46,0.117,1.176,0.1,1.19,0.113,1.283
4.66,0.125,1.292,0.106,1.307,0.121,1.41
4.86,0.134,1.403,0.111,1.42,0.129,1.531
5.06,0.143,1.51,0.117,1.528,0.137,1.648
5.26,0.152,1.612,0.123,1.631,0.146,1.76
5.46,0.162,1.711,0.129,1.731,0.154,1.868
5.66,0.171,1.806,0.135,1.828,0.163,1.971
5.86,0.181,1.898,0.141,1.921,0.172,2.072
6.06,0.191,1.987,0.147,2.01,0.181,2.169
6.26,0.202,2.073,0.153,2.097,0.191,2.262
6.46,0.212,2.156,0.16,2.182,0.2,2.353
6.66,0.223,2.237,0.166,2.263,0.21,2.441
6.86,0.234,2.315,0.172,2.342,0.22,2.527
7.06,0.245,2.391,0.179,2.419,0.23,2.61
7.26,0.256,2.465,0.185,2.494,0.24,2.69
7.46,0.268,2.537,0.192,2.567,0.25,2.769
7.66,0.279,2.607,0.198,2.638,0.261,2.845
7.86,0.291,2.675,0.205,2.707,0.271,2.92
8.06,0.303,2.742,0.211,2.774,0.282,2.992
8.26,0.316,2.807,0.218,2.84,0.293,3.063
8.46,0.328,2.87,0.225,2.904,0.304,3.132
8.66,0.341,2.932,0.232,2.966,0.315,3.2
8.86,0.354,2.992,0.238,3.027,0.327,3.266
9.06,0.367,3.051,0.245,3.087,0.338,3.33
9.26,0.38,3.109,0.252,3.146,0.35,3.393
9.46,0.393,3.166,0.259,3.203,0.361,3.455
9.66,0.407,3.221,0.266,3.259,0.373,3.515
9.86,0.42,3.275,0.273,3.314,0.385,3.574
10.06,0.434,3.328,0.28,3.368,0.397,3.632
10.26,0.448,3.381,0.287,3.42,0.41,3.689
10.46,0.462,3.432,0.294,3.472,0.422,3.745
10.66,0.477,3.482,0.301,3.523,0.435,3.8
10.86,0.491,3.531,0.309,3.572,0.447,3.853
11.06,0.506,3.579,0.316,3.621,0.46,3.906
11.26,0.521,3.627,0.323,3.669,0.473,3.958
11.46,0.536,3.673,0.33,3.716,0.486,4.009
