FIELD,ID,RA_x,DEC_x,Z_50,Z_ERR,PAB_FLUX,PAB_FLUX_ERR,OBS_PAB,id3DHST,ir_SFR-ladder_total,ir_SFR-ladder_total_Av,synth_Av,ir_A_V,gf_n_j,gf_dn_j,gf_f_j,gf_re_j,gf_dre_j,td_Av,ACS_F435W_FLUX,ACS_F775W_FLUX,restalt_restUjohnson,restalt_restVjohnson,td_flag1,td_z_best,td_z_spec,td_z_best_s,td_z_peak_phot,td_lmass,td_sfr,td_sfr_IR,td_sfr_UV,ir_z_ir,ir_SFR-UV_corr,ir_SFR-UV_corr_Error,ir_SFR-IR,ir_UV_beta,ir_beta_obs,ir_beta_obs_err,DL,PAB_L,PAB_L_ERR,SIGMA_1,PAB_SFR,PAB_SFR_ERR,UV_SFR_ERR,PAB_SFR_EX2,PAB_SFR_EX2_ladder,PAB_SFR_EX2_ERR,PAB_SFR_LL,PAB_SFR_EX2_LL,PAB_SFR_LL_1SIGMA,PAB_SFR_EX_LL_1SIGMA
GN1,37683,189.30608926,62.360349807,0.2774810736218118,0.001144388341171671,3.9078466906508296,1.36705420761725,16377.307363831627,37683,1.57008,1.57008,0.0,0.594,0.8085,0.0706395,0,0.690642,0.0231143,0.7,4.99338,12.17853,-18.532061,-19.200056,0,0.2195,-1.0,3,0.2195,8.61,0.75561,0.3222,0.4334,0.28,1.84496,0.316932,0.731772,-1.0059,-1.0059,0.0,1437.295927009079,9.65878138514663e+39,3.3788627800086015e+39,7.115943023709629,-0.03507766355252073,0.15182313255156787,0.07455364235538982,-0.30106461834700865,-0.23099944505308956,0.1691405012592381,-1.1272307963149188,-1.3932177511094068,-1.3150572612310327,-1.5810442160255207
GN2,19221,189.20126644,62.240701729,0.1396305993941193,0.0024702370588815456,19.4455052485546,2.12677925054694,14610.06428423261,19221,1.8332,1.8332,0.2,0.538,1.6737,0.0458735,0,0.600048,0.00884646,1.0,40.04966,92.2314,-18.874882,-19.713562,0,0.139,0.139,1,0.1503,9.05,1.5028,0.5933,0.90949,0.14,1.8831,0.22231,0.975161,-1.1823,-1.1823,0.0,666.9478951892702,1.034893057694723e+40,1.1318754917945963e+39,8.092881374200575,-0.005104526393239439,0.04746712327292092,0.05123601508151453,-0.2799779097636126,-0.2683143749659884,0.06984452042386614,-1.79413937346402,-2.0690127568343932,-1.981965838380134,-2.256839221750507
GN2,15610,189.21272212,62.222423294,0.1992416776871956,0.007587635137700887,14.520550395692299,2.31713944538328,15374.27830794985,15610,1.28475,1.28475,0.1,0.523,1.2779,0.102868,0,1.49332,0.0708744,0.3,17.46612,50.43783,-18.985366,-19.971201,0,0.2008,0.2008,1,0.2096,9.43,1.121,0.27426,0.8467,0.2,1.64124,0.0708243,0.564242,-1.2266,-1.2266,0.0,987.4400743034412,1.6939360276074327e+40,2.7031247993805172e+39,7.696212983656835,0.2088970049429193,0.06925622596197722,0.018728367697594502,-0.006275088026330283,0.10007837858570874,0.07174382615328478,-1.4533016887496046,-1.6684737817188542,-1.6411281536657185,-1.856300246634968
GN2,18157,189.18229328,62.23245815499999,0.1968138893998585,0.027063765897924377,3.88996026806824,1.62764684413804,15343.154062106187,18157,0.616173,1.106,0.2,0.523,1.1696,0.432825,0,1.16805,0.242844,0.7,5.02153,15.99987,-17.627013,-18.692137,0,0.2013,0.2013,1,0.2078,8.96,0.29487,0.046595,0.24828,0.2,0.616173,0.0958844,-0.094367,-1.2265,-1.2265,0.0,973.9995107578957,4.4152476913592377e+39,1.8474389134307117e+39,7.376507986700897,-0.37504492787958554,0.18159535873786903,0.06753595110464107,-0.16474759198722505,-0.16474759198722505,0.19374720386819475,-1.4652057086144765,-1.254908372722116,-1.6530321735305904,-1.4427348376382299
GN2,21693,189.2325241499276,62.24847399031422,0.2819808192873829,0.02346218227192973,2.51928899395695,1.4327140984393398,16434.99410326425,21693,0.0238438,0.02827,0.0,0.316,1.7696,0.995716,0,0.853224,0.297149,0.2,0.37442,2.41811,-14.612048,-16.37718,0,0.30604,-1.0,2,0.2798,8.75,0.12598,0.059522,0.06646,0.19,0.0238438,0.0017389,-0.0831503,-1.707,-1.707,0.0,1464.121519596729,6.461370825090581e+39,3.6745673475958894e+39,7.3284940618633465,-0.2096753336124948,0.24681484347932608,0.03165110427029249,1.4129491960442182,1.4129491960442182,0.24883600897629982,-1.1111689382338596,0.5114555914228534,-1.2989954031499735,0.3236291265067395
GN3,34456,189.33981288,62.324291407,0.21129,0.010113430014904846,27.5076294,2.86222911,15695.781592404122,34456,1.6574,1.6574,2.1,1.351,1.9239,0.516698,0,1.1246,0.175864,2.3,6.17522,46.80933,-18.004112,-19.807896,0,0.211,0.211,1,0.3082,10.01,1.4614,1.3355,0.12584,0.21,2.03749,0.194468,1.29452,0.2181,0.5392,0.0,1054.6150842943096,3.660442182116811e+40,3.808770293061552e+39,8.551415308479926,0.5435335514200332,0.045158650921042286,0.0414230803586766,0.23443806551990937,0.32410621691235186,0.06127948546952669,-1.3961352284589879,-1.7052307143591117,-1.5839616933751017,-1.8930571792752255
GN3,34157,189.20682581,62.321196204,0.2451193635943251,0.014141659816280256,28.2827543404733,2.68852447315662,15962.43024127925,34157,0.78256,0.78256,0.0,0.321,1.7008,0.369811,0,1.08867,0.140162,0.1,3.88474,11.78587,-18.259385,-19.108387,0,0.29434,-1.0,2,0.2767,9.23,0.5685,0.067606,0.5009,0.28,1.05443,0.0863438,0.158936,-1.6969,-1.6969,0.0,1247.3676076150064,5.265056720374458e+40,5.004899337200684e+39,7.709023943585502,0.7014030541944294,0.04125551589861338,0.035538830647838165,0.6783853004866883,0.8078854087172223,0.054452052999647886,-1.2503342623901332,-1.2733520160978744,-1.438160727306247,-1.4611784810139883
GN3,33397,189.17546982,62.314346623,0.245052751020829,0.01084117783632914,6.15906774066491,1.9088266921288,15961.576268087027,33397,0.676842,0.676842,0.6,0.756,0.8072,0.129569,0,0.933042,0.0718684,0.8,4.36831,20.14806,-18.174565,-19.460854,0,0.19602,-1.0,2,0.2131,9.34,0.33978,0.13154,0.20824,0.25,0.951868,0.0782902,0.295839,-0.4611,-0.4611,0.0,1246.9821739835027,1.1458503458828235e+40,3.551235052936804e+39,7.6832117778404285,0.03912790017815837,0.13450587317204354,0.03569607004332533,0.06055117327091151,0.20864060008469937,0.13916191768695862,-1.2506026957940932,-1.2291794227013402,-1.438429160710207,-1.417005887617454
GN3,33511,189.23454989,62.31476841,0.2564012777548507,0.009254443227783871,4.37180834323876,1.18772865255872,16107.064380817186,33511,0.220988,0.220988,0.1,0.571,0.7823,0.56404,0,0.565086,0.132302,1.2,1.43508,5.87106,-16.948597,-18.110253,0,0.2535,0.2535,1,0.2167,8.63,0.19901,0.059198,0.13981,0.25,0.31,0.0372484,0.0829208,-1.079,-1.079,0.0,1312.9763473443024,9.017109608619424e+39,2.4497595970745723e+39,7.320042788844346,-0.06493265117123315,0.11790869927033595,0.05214776,0.4437056549944942,0.5906986573847312,0.12892575474528012,-1.205809380982295,-0.6971710748165676,-1.3936358458984088,-0.8849975397326815
GN3,34368,189.33852596,62.32096804899998,0.2284243630292977,0.005207479734088531,4.1323714787567,0.995736555171028,15748.400334035596,34368,0.436351,0.436351,0.0,0.195,2.5304,3.21991,0,0.348786,0.236504,0.7,3.67107,8.59712,-17.666023,-18.375686,0,0.2312,0.2312,1,0.2328,8.47,0.42498,0.11777,0.30721,0.23,0.458027,0.0114036,0.108598,-1.94,-1.94,0.0,1151.4890474996364,6.555584316662991e+39,1.5796341103804106e+39,7.594131215924559,-0.20338859242657747,0.10457667399114036,0.010805394441812383,0.13572032781105758,0.15677543198253208,0.10513342614074937,-1.319803563106504,-0.9806946428688689,-1.5076300280226178,-1.1685211077849829
