,FIELD,ID,RA_x,DEC_x,Z_50,Z_ERR,PAB_FLUX,PAB_FLUX_ERR,OBS_PAB,id3DHST,ir_SFR-ladder_total,ir_SFR-ladder_total_Av,gf_n_j,gf_dn_j,gf_f_j,gf_re_j,gf_dre_j,td_Av,synth_lmass,fast_lmass,ACS_F435W_FLUX,ACS_F775W_FLUX,restalt_restUjohnson,restalt_restVjohnson,td_z_best,td_z_spec,td_z_peak_phot,td_lmass,DL,PAB_L,PAB_L_ERR
0,GN1,38114,189.32106538,62.37852322100002,0.2164807835166052,0.035065264342217864,116.097868470656,1.57283694680202,15595.283644682879,38114,1.12716,8150.0,0.2121,0.109234,0,0.041184,0.00703924,0.2,10.555,10.48,8.38311,99.69771,-18.4985,-20.827451,0.2841,-1.0,0.2841,10.86,1083.797389411795,1.6315969191612053e+41,2.2104074351664045e+39
13,GN3,34456,189.33981288,62.324291407,0.2243199370050017,0.010113430014904846,85.4156646782026,2.75107577140578,15695.781592404122,34456,1.6574,1.6574,1.9239,0.516698,0,1.1246,0.175864,2.3,9.9302,10.0,6.17522,46.80933,-18.004112,-19.807896,0.211,0.211,0.3082,10.01,1128.1413970276376,1.300639759107488e+41,4.189112784040393e+39
14,GN3,33015,189.28222579,62.31425775499999,0.2025201475004083,0.0014626402082427233,53.314568675375995,1.9904995720879,15416.308290955236,33015,0.15187,0.15187,5.1774,10.4521,0,0.646698,0.703739,0.6,10.323,10.32,10.34277,92.01885,-18.420002,-20.433996,0.201,0.201,0.2064,10.18,1005.6411280537565,6.450960494287007e+40,2.4084662827563764e+39
4,GS3,42866,53.150015889,-27.70866107599999,0.008687209091567203,0.003998061353777008,42.1158392076,1.5052430562521901,12931.370020553892,42866,0.989152,6019.0,0.2,0.000654765,2,0.035658,3.52949e-05,0.2,,,4.86259,70.6872,-19.909712,-22.073453,0.2824,-1.0,0.2824,10.86,37.82557270714551,7.209562526408257e+37,2.5767369558989359e+36
15,GN3,35356,189.28385038,62.32995802100002,0.2761498502851653,0.114147623372859,37.9645971895682,15.6306047576386,16360.24108065582,35356,0.521861,0.521861,1.1131,0.651033,0,0.828042,0.245649,1.6,9.2902,9.27,1.36655,6.69801,-17.599027,-18.860421,0.3196,0.3196,0.2808,9.04,1429.3790054006608,9.28038563883004e+40,3.8208765707351264e+40
5,GS3,37739,53.14310030900004,-27.73058205700005,0.008413912097457324,0.0040751727515842395,32.8385370707318,1.84315512741904,12927.866353089403,37739,3.06581,3.06581,7.7983,0.110311,1,0.729846,0.00614813,0.0,,,0.73697,11.187,-19.963795,-21.598009,0.668,0.668,0.6679,10.65,36.62782971183619,5.271067812219382e+37,2.9585348592537376e+36
16,GN3,34157,189.20682581,62.321196204,0.2451193635943251,0.014141659816280256,28.2827543404733,2.68852447315662,15962.43024127925,34157,0.78256,0.78256,1.7008,0.369811,0,1.08867,0.140162,0.1,9.053,9.11,3.88474,11.78587,-18.259385,-19.108387,0.29434,-1.0,0.2767,9.23,1247.367608588749,5.265056728594664e+40,5.004899345014714e+39
0,GS2,43401,53.13990311099999,-27.704768926,0.008976263294281247,0.004598802869863115,26.4032610049863,1.0488607885418,12935.075695432684,43401,0.526928,21130.0,0.3094,0.00163841,0,0.040548,7.18218e-05,0.2,,,0.880095,33.3866,-19.754843,-22.218441,0.5963,-1.0,0.5963,11.25,39.09291976052524,4.827766026860973e+37,1.9178140461030298e+36
19,GS4,27438,53.19392920055293,-27.78579541612264,0.1139344822334479,0.05973070655503916,23.2560855140048,3.88170643555486,14280.640062232802,27438,0.144614,0.3127,0.8853,0.0074704,0,1.57721,0.00718915,0.5,,,5.08476,16.5612,-16.295958,-17.583836,0.128,0.128,0.1184,8.75,535.1169394996509,7.967580188225139e+39,1.3298801844277802e+39
32,ERSPRIME,39505,53.05267394399999,-27.72504380700001,0.2217665547065831,0.009368103203542855,22.914232676878402,1.09231312014937,15663.047231338394,39505,10.2735,15.03,1.832,0.0158187,2,0.018,6.12396e-05,0.0,,,3.972,45.6226,22.787909,21.110799,0.01,0.0,0.01,7.32,1113.661705715622,3.400198884109192e+40,1.6208624153395326e+39
