FIELD,ID,RA,DEC,Z_50,Z_ERR,PAB_FLUX,PAB_FLUX_ERR,OBS_PAB
GN2,19651,189.2203564808755,62.24559002113067,0.3207980168870739,0.0012384642772606648,1020.74129881863,228.253394228878,16932.630576492287
GN3,26823,189.245094,62.27718569200001,0.2980294621327578,0.0040831583885274645,240.294078975272,64.171185977635,16640.737704541956
GN4,26823,189.245094,62.27718569200001,0.2980020343062498,0.004090903865006088,238.015632240218,64.1877826108194,16640.38607980612
GS4,19146,53.14383472824792,-27.8134671600244,0.2119230808547358,0.004738241886917872,218.857584725967,16.8525257033356,15536.853896557714
GN3,28121,189.27862491,62.283924214,0.03380051255448755,0.008694250327213571,201.448600611266,0.919987095973062,13253.32257094853
GN4,28121,189.27862491,62.283924214,0.03380078612490378,0.008696403429658708,201.367582532994,0.919604297853222,13253.326078121265
GN1,38114,189.32106538,62.37852322100002,0.2164807835166052,0.035065264342217864,116.097868470656,1.57283694680202,15595.283644682879
GN2,16267,189.19109787,62.22384196899998,0.3228971613732131,0.00750059474749964,96.0950868627141,29.4282474503549,16959.541608804593
GN4,22285,189.29903147,62.25413798699998,0.3002703541579861,0.0033542892938094844,87.9326820916302,30.433166847961797,16669.46594030538
GN3,34456,189.33981288,62.324291407,0.2243199370050017,0.010113430014904846,85.4156646782026,2.75107577140578,15695.781592404122
GS3,40131,53.17073665500001,-27.72192978499999,0.2393648093093297,0.03358280907655448,79.0533145678541,10.2611451910399,15888.656855345607
GN7,9116,189.15360881,62.19301378,0.07617091324568497,0.06829225141017065,56.0294561489303,7.31137557299178,13796.511107809682
GN3,33015,189.28222579,62.31425775499999,0.2025201475004083,0.0014626402082427233,53.314568675375995,1.9904995720879,15416.308290955236
GN2,21582,189.2336176799201,62.24856716428241,0.3199147129437881,0.010703712676961161,47.3441733178411,13.532568403497399,16921.30661993936
GS3,42866,53.150015889,-27.70866107599999,0.008687209091567203,0.003998061353777008,42.1158392076,1.5052430562521901,12931.370020553892
GN3,35356,189.28385038,62.32995802100002,0.2761498502851653,0.114147623372859,37.9645971895682,15.6306047576386,16360.24108065582
GN4,22761,189.30000065,62.25340543199998,0.2989009128003644,0.006318264063365615,35.9168398147168,2.9746494211503096,16651.90970210067
GS3,35547,53.13187547900205,-27.7426442740004,0.2696409667302331,0.13363623806757394,35.682356504653704,6.2545751512119105,16276.797193481589
GS3,37739,53.14310030900004,-27.73058205700005,0.008413912097457324,0.0040751727515842395,32.8385370707318,1.84315512741904,12927.866353089403
GS4,21890,53.174772666,-27.799323122,0.1503455379765732,0.014156934205601154,32.0997068068512,10.5862849314579,14747.42979685967
GS2,47094,53.15585657,-27.68985965799999,0.2459783858929324,0.0059195085876313,28.669168255609,2.91302774469695,15973.442907147391
GN3,34157,189.20682581,62.321196204,0.2451193635943251,0.014141659816280256,28.2827543404733,2.68852447315662,15962.43024127925
GN2,12717,189.21548818,62.20562836700001,0.3044883368479626,0.005973654749683335,27.9252031465927,12.9924670533051,16723.540478390878
GS4,22600,53.19330134300001,-27.80557966300002,0.2698318708604558,0.02593543928720045,27.666599931603802,1.34763711224102,16279.244584431042
GS2,43401,53.13990311099999,-27.704768926,0.008976263294281247,0.004598802869863115,26.4032610049863,1.0488607885418,12935.075695432684
GN3,32290,189.36643835,62.30439160299998,0.245065533955202,0.0928092703802391,26.097642430853,3.1318110372425396,15961.740145305688
GS5,40413,53.12514831149021,-27.72090569708546,0.1765692248460142,0.09004217280743042,25.7017497510353,3.5716900939330496,15083.617462525903
GN4,28930,189.28823968,62.286934852,0.3075057906258756,0.023374663139436248,24.0208768455794,14.839884148784,16762.224235823724
GN3,28930,189.28823968,62.286934852,0.3074987745891738,0.023373948781555468,23.9087398077814,14.839609777109601,16762.134290233207
GS4,27438,53.19392920055293,-27.78579541612264,0.1139344822334479,0.05973070655503916,23.2560855140048,3.88170643555486,14280.640062232802
ERSPRIME,39505,53.05267394399999,-27.72504380700001,0.2217665547065831,0.009368103203542855,22.914232676878402,1.09231312014937,15663.047231338394
GS5,38715,53.10248711451633,-27.7296682245126,0.3108673673415484,0.0012037054401478405,20.588429209855402,9.84801015703143,16805.319649318648
GS3,35205,53.13105249200283,-27.74305030300048,0.2309343500038553,0.07178957840676123,20.5822363978068,1.44732992947472,15780.578367049424
GN4,21582,189.23361768,62.248567164,0.2510464425307341,0.020038355298555275,20.2504703397466,2.69216263268516,16038.415393244011
GN2,15744,189.17547909,62.21948181199999,0.1643490639161849,0.05334754678946533,19.5682772425911,2.8956936363067096,14926.95499940549
GN2,19221,189.20126644,62.240701729,0.1396305993941193,0.0024702370588815456,19.4455052485546,2.12677925054694,14610.06428423261
GS1,47421,53.2560401,-27.68378622599999,0.008870045660813003,0.0039748395304138795,18.1244831942337,0.976610234985838,12933.713985371623
GS3,34363,53.15127913700001,-27.74988377800001,0.008864607612696355,0.0041226036649143405,17.685365351879298,0.970477568342841,12933.644269594768
GS2,45692,53.15525886999999,-27.689079758,0.2745752804573193,0.002706077172764526,17.472883828074,3.13766523663477,16340.055095462834
